fluid,T_inj,T_geo,x_steam,m_geo,cooling_fluid,T_amb,P_amb,dT_cd,dT_pp_evap,dT_pp_cond,dT_ap_pre,p_evap_opt,net_power_opt,T_injection_opt,p_ratio_crit,T_turbine_in,T_preheater_out,m_workingfluid,preheater_ttd_min,evap_steam_pinch,evap_brine_pinch,thermal_efficiency,p_lo,p_hi,constrained,CV
Cyclopentane,65,210.0,0.1,180,air,15,0.6,15,10,10,5,15.593821184941511,22.85253502779641,98.19806210428771,0.3402713026614408,166.34995235908502,161.34995235908565,218.1395134290009,13.880071487472549,43.65004764092191,10.0,0.18817386497260172,6.874,25.726,True,0.0
Cyclopentane,65,220.0,0.1,180,air,15,0.6,15,10,10,5,18.02973628898987,25.422562681808152,96.19741065404043,0.39342517660913173,175.12641952989236,170.12641952989128,229.9286897489746,14.012998330988978,44.87358047143363,10.0,0.19493782604985221,6.874,29.792,True,0.0
Cyclopentane,75,140.0,0.1,180,air,15,0.6,15,10,10,5,6.811646463308078,10.07404403373053,98.2901764300571,0.14863629561029426,122.11723579405151,117.11723579405259,140.94858000783333,11.256148408745673,17.88276420584367,10.0,0.1429773359486123,3.844,7.688,True,0.0
Cyclopentane,75,160.0,0.1,180,air,15,0.6,15,10,10,5,8.53275018281069,13.015384246714108,100.34316838932477,0.18619233769292004,133.22181878335294,128.22181878335283,161.87607383712026,12.150465389064436,26.778181216876135,10.0,0.15628056541445481,5.649,11.298,True,0.0
Cyclopentane,75,150.0,0.1,180,air,15,0.6,15,10,10,5,7.622468864263071,11.486243501838398,99.49237125765922,0.16632917481724968,127.58021894515667,122.58021894515679,151.3092238154604,11.711451185392832,22.419781054783755,10.0,0.149705644717368,4.682,9.365,True,0.0
Cyclopentane,75,170.0,0.1,180,air,15,0.6,15,10,10,5,9.56121592853278,14.67070890182027,100.81596949984635,0.20863439181737475,139.0829050661473,134.08290506614793,172.66213660694567,12.569300599924532,30.91709493376453,10.0,0.16273018469577635,6.756,13.512,True,0.0
Cyclopentane,75,180.0,0.1,180,air,15,0.6,15,10,10,5,10.733398175396584,16.4639266721626,100.87901408762616,0.23421247017075025,145.21947055464034,140.21947055463914,183.67976747170806,12.962489465172212,34.78052944543208,10.0,0.16908849138737836,6.874,16.032,True,0.0
Cyclopentane,75,190.0,0.1,180,air,15,0.6,15,10,10,5,12.085861937872686,18.41023969792601,100.49438023534327,0.26372445448826587,151.71218870269308,146.7121887026919,194.93779129988872,13.321974740452106,38.28781129722279,10.0,0.17539980376807868,6.874,18.886,True,0.0
Cyclopentane,75,200.0,0.1,180,air,15,0.6,15,10,10,5,13.674556200011574,20.530098811905305,99.61729508266922,0.2983912022787808,158.68530238902258,153.6853023890214,206.4346825240008,13.63510834408902,41.314697611035456,10.0,0.18172744416067324,6.874,22.105,True,0.0
Cyclopentane,75,220.0,0.1,180,air,15,0.6,15,10,10,5,18.029737160148855,25.422562681807978,96.19741258519417,0.3934251956186099,175.12642250562595,170.12642250562482,229.92868576631307,14.012998023386046,44.87357749570003,10.0,0.19493782823553157,6.874,29.792,True,0.0
Cyclopentane,75,210.0,0.1,180,air,15,0.6,15,10,10,5,15.593822941716882,22.85253502779658,98.19806670352034,0.3402713409958706,166.34995904556155,161.34995904556223,218.13950397843564,13.88007079930452,43.65004095444539,10.0,0.18817387037246697,6.874,25.726,True,0.0
n-Butane,65,140.0,0.1,180,air,15,0.6,15,10,10,5,25.454999999999423,12.206487241635898,68.53045901757616,0.6705742887249584,128.00066447260724,123.00066447260622,207.9180734898836,10.665445941539133,11.99933552728794,10.0,0.13131615920782566,5.694,25.455,True,0.0
Cyclopentane,75,230.0,0.1,180,air,15,0.6,15,10,10,5,21.48283626231519,28.323023540910093,93.69721257316024,0.468774945739372,186.15737916038898,181.15737916038955,241.27530655735546,13.914194612000927,43.84262083961477,10.0,0.20255654214535238,6.874,34.361,True,0.0
